지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),운형(운형약어),지면온도(°C)
108,서울,2014-01-03 03:00,-.7,,1.7,50,49,2.8,-10.1,1009.6,,,,4,Ci,-1.1
108,서울,2014-01-03 04:00,-.8,,1.7,20,51,3,-9.6,1008.9,,,,7,Ci,-1.1
108,서울,2014-01-03 05:00,-.6,,2.3,50,50,2.9,-9.7,1008,,,,6,Ci,-1.1
108,서울,2014-01-03 06:00,-1,,1.9,50,50,2.8,-10.1,1007.8,,,,3,Ci,-1.6
108,서울,2014-01-03 07:00,-.9,,1.7,50,50,2.9,-10,1007.4,,,,7,Ci,-1.3
108,서울,2014-01-03 08:00,-.7,,2.6,50,50,2.9,-9.8,1007.2,0,0,,7,Ci,-1.1
108,서울,2014-01-03 09:00,-.1,,1.7,20,46,2.8,-10.3,1007.4,0,.08,,7,Ci,-.4
108,서울,2014-01-03 10:00,1.3,,1.1,20,40,2.7,-10.8,1007.5,0,.34,,8,Ci,.2
108,서울,2014-01-03 11:00,3,,1.5,20,38,2.9,-9.9,1007.5,.2,.63,,8,Ci,.9
108,서울,2014-01-03 12:00,5,,1.8,230,36,3.1,-8.8,1005.9,.5,.89,,6,Ci,1.6
108,서울,2014-01-03 13:00,6.8,,3.1,200,33,3.3,-8.3,1005.1,1,1.22,,6,Ci,2.2
108,서울,2014-01-03 14:00,6.9,,4,270,39,3.9,-6.1,1004.5,.7,.86,,7,Sc,2.2
108,서울,2014-01-03 15:00,6.6,,3.6,270,51,5,-2.8,1004.4,.3,.4,,8,Sc,2
108,서울,2014-01-03 16:00,6.3,,2.5,270,56,5.4,-1.8,1004.5,0,.23,,9,Sc,1.7
108,서울,2014-01-03 17:00,6,,2.6,270,64,6,-.3,1004.9,0,.04,,9,Sc,1.2
108,서울,2014-01-03 18:00,5.5,,3.4,290,70,6.3,.4,1005.5,0,0,,8,Sc,1.2
108,서울,2014-01-03 19:00,4.7,,3.1,270,72,6.1,0,1006,,,,,,.1
108,서울,2014-01-03 20:00,3.8,,3.3,320,72,5.8,-.7,1006.6,,,,,,.1
108,서울,2014-01-03 21:00,2.5,,4.8,320,67,4.9,-3,1007,,,,0,,0
108,서울,2014-01-03 22:00,1.5,,3.6,290,69,4.7,-3.5,1007.4,,,,,,-.1
108,서울,2014-01-03 23:00,1.1,,3.5,290,71,4.7,-3.5,1007.3,,,,,,-.1
108,서울,2014-01-04 00:00,.6,,4.2,320,66,4.2,-5,1007.4,,,,1,Ci,-.3
108,서울,2014-01-04 01:00,-.2,,3.5,290,70,4.2,-5,1007.5,,,,,,-.3
108,서울,2014-01-04 02:00,-.9,,3,290,69,4,-5.8,1007.6,,,,,,-.6
108,서울,2014-01-04 03:00,-1.5,,3.1,290,65,3.6,-7.2,1007.8,,,,0,,-.9
108,서울,2014-01-04 04:00,-2.1,,1,270,49,2.6,-11.4,1007.8,,,,0,,-1.3
108,서울,2014-01-04 05:00,-2.1,,2.3,320,46,2.4,-12.1,1007.8,,,,0,,-1.7
108,서울,2014-01-04 06:00,-2.8,,2.1,290,50,2.5,-11.7,1008,,,,0,,-2
108,서울,2014-01-04 07:00,-3.6,,1.7,270,53,2.5,-11.8,1008.6,,,,0,,-2.4
108,서울,2014-01-04 08:00,-3.7,,1.7,290,58,2.7,-10.7,1008.9,0,0,,0,,-2.5
108,서울,2014-01-04 09:00,-3.3,,1.7,270,50,2.4,-12.2,1009.6,.7,.21,,0,,-1.6
108,서울,2014-01-04 10:00,-1.3,,1,270,45,2.5,-11.7,1009.9,1,.65,,0,,.1
108,서울,2014-01-04 11:00,.4,,2.4,290,44,2.8,-10.4,1010.2,1,1.03,,0,,.7
108,서울,2014-01-04 12:00,2.6,,1.6,230,38,2.8,-10.3,1009.2,1,1.34,,0,,1.9
108,서울,2014-01-04 13:00,4.2,,1.6,230,36,3,-9.5,1008.1,1,1.46,,0,,1.9
108,서울,2014-01-04 14:00,5.4,,3.2,250,35,3.1,-8.8,1007.4,1,1.38,,0,,3.7
108,서울,2014-01-04 15:00,4.9,,3.3,270,35,3,-9.3,1007.5,1,1.07,,1,Sc,2
108,서울,2014-01-04 16:00,4.3,,3.6,270,39,3.2,-8.4,1008,1,.68,,1,Sc,.7
108,서울,2014-01-04 17:00,3.2,,3.6,290,42,3.2,-8.5,1008.4,1,.32,,1,Sc,.1
108,서울,2014-01-04 18:00,1.6,,4.1,290,43,3,-9.6,1008.7,0,0,,0,,0
108,서울,2014-01-04 19:00,.9,,2.7,290,42,2.8,-10.5,1008.9,,,,,,-.1
108,서울,2014-01-04 20:00,.2,,2.2,270,42,2.6,-11.2,1009.1,,,,,,-.3
108,서울,2014-01-04 21:00,-.5,,2.7,270,43,2.5,-11.5,1009.6,,,,0,,-.4
108,서울,2014-01-04 22:00,-1.2,,2.1,270,48,2.7,-10.8,1009.7,,,,,,-.6
108,서울,2014-01-04 23:00,-1.6,,2.1,290,49,2.7,-10.9,1010,,,,,,-.7
108,서울,2014-01-05 00:00,-2.1,,2.4,270,53,2.8,-10.4,1010.2,,,,6,ScAc,-.8
108,서울,2014-01-05 01:00,-2.5,,1.8,270,57,2.9,-9.8,1010.3,,,,,,-1.3
108,서울,2014-01-05 02:00,-3,,.5,200,58,2.8,-10.1,1010.4,,,,,,-1.5
108,서울,2014-01-05 03:00,-3.1,,1.2,270,61,3,-9.5,1011,,,,0,,-1.9
108,서울,2014-01-05 04:00,-3.5,,1.4,270,64,3,-9.3,1011.2,,,,0,,-2.3
108,서울,2014-01-05 05:00,-3.6,,1.7,270,67,3.1,-8.8,1011.5,,,,4,Ci,-2.2
108,서울,2014-01-05 06:00,-3.7,,1.2,270,68,3.2,-8.7,1011.7,,,,3,Sc,-2.3
108,서울,2014-01-05 07:00,-3.6,,2.4,250,65,3,-9.2,1012.2,,,,0,,-2.7
108,서울,2014-01-05 08:00,-4.2,,1,250,62,2.8,-10.4,1012.6,0,0,,1,Sc,-2.9
108,서울,2014-01-05 09:00,-3.9,,.2,0,53,2.4,-12,1013.2,.7,.21,,4,AcCi,-1.7
108,서울,2014-01-05 10:00,-1.9,,.6,340,50,2.7,-10.9,1013.3,1,.6,,4,Sc,.1
108,서울,2014-01-05 11:00,.5,,.7,340,44,2.8,-10.3,1013.2,1,.95,,7,Ac,.8
108,서울,2014-01-05 12:00,1.5,,2.3,250,42,2.9,-10,1012.6,.5,.84,,7,Ac,1.4
108,서울,2014-01-05 13:00,2.5,,2.3,270,36,2.6,-11,1011.9,1,1.29,,4,Ac,1.4
108,서울,2014-01-05 14:00,3.3,,2.2,290,30,2.3,-12.6,1011.9,1,1.24,,3,Ac,2.2
108,서울,2014-01-05 15:00,3.6,,3.7,250,32,2.5,-11.5,1012.4,1,1.04,,3,Ac,1.4
108,서울,2014-01-05 16:00,2.7,,3.8,290,28,2.1,-14,1012.7,1,.62,,1,Ac,0
108,서울,2014-01-05 17:00,2,,3.5,290,31,2.2,-13.3,1013,.8,.27,,0,,0
108,서울,2014-01-05 18:00,.9,,2.4,290,36,2.3,-12.5,1013.4,0,.02,,0,,-.1
108,서울,2014-01-05 19:00,.3,,2.4,340,35,2.2,-13.4,1014,,,,,,-.3
108,서울,2014-01-05 20:00,-.2,,1.6,290,40,2.4,-12.2,1014.7,,,,,,-.4
108,서울,2014-01-05 21:00,-.2,,3.4,320,43,2.6,-11.2,1014.9,,,,0,,-.6
108,서울,2014-01-05 22:00,-.7,,2.9,290,46,2.7,-10.9,1015.5,,,,,,-.9
108,서울,2014-01-05 23:00,-1.4,,2.1,270,50,2.8,-10.5,1016,,,,,,-1.3
108,서울,2014-01-06 00:00,-1.8,,.6,50,52,2.8,-10.3,1015.9,,,,0,,-1.7
108,서울,2014-01-06 01:00,-2.4,,0,0,54,2.8,-10.4,1015.8,,,,,,-2.1
108,서울,2014-01-06 02:00,-2.4,,.5,360,52,2.7,-10.9,1016,,,,,,-2.4
108,서울,2014-01-06 03:00,-2.6,,.2,0,57,2.9,-9.9,1016.7,,,,0,,-2.6
108,서울,2014-01-06 04:00,-2.8,,.4,0,61,3,-9.2,1016.8,,,,0,,-2.7
108,서울,2014-01-06 05:00,-3.4,,2.2,50,63,3,-9.4,1016.7,,,,0,,-3
108,서울,2014-01-06 06:00,-3.4,,2.7,50,64,3,-9.2,1017,,,,0,,-3
108,서울,2014-01-06 07:00,-3.4,,1.4,20,63,3,-9.4,1017.4,,,,0,,-3.1
108,서울,2014-01-06 08:00,-3.6,,.6,20,65,3,-9.2,1017.7,0,0,,0,,-3.3
108,서울,2014-01-06 09:00,-3.1,,1.8,20,59,2.9,-9.9,1018.6,.6,.2,,0,,-2.1
108,서울,2014-01-06 10:00,-.8,,2.9,50,52,3,-9.4,1019.2,1,.61,,2,ScCi,0
108,서울,2014-01-06 11:00,1.1,,2.6,50,44,2.9,-9.8,1018.9,.8,.99,,2,ScCi,.6
108,서울,2014-01-06 12:00,2.8,,1.8,50,38,2.8,-10.1,1018.3,1,1.32,,0,,1.9
108,서울,2014-01-06 13:00,4.2,,2,50,36,3,-9.5,1017.5,1,1.43,,0,,2.1
108,서울,2014-01-06 14:00,6.2,,1.6,160,31,2.9,-9.7,1016.7,1,1.37,,0,,4.5
108,서울,2014-01-06 15:00,6.4,,2.3,230,32,3.1,-9.1,1016.8,1,1.08,,3,ScAc,2.6
108,서울,2014-01-06 16:00,6.1,,1.7,230,33,3.1,-9,1016.9,1,.64,,0,,.8
108,서울,2014-01-06 17:00,4.8,,2.9,290,37,3.2,-8.6,1017.2,.7,.25,,6,Sc,.3
108,서울,2014-01-06 18:00,3.7,,1.8,340,46,3.7,-6.8,1017.2,0,.01,,7,Sc,.1
108,서울,2014-01-06 19:00,2.9,,1.7,270,49,3.7,-6.7,1017.1,,,,,,.1
108,서울,2014-01-06 20:00,2,,1.7,50,53,3.8,-6.5,1017,,,,,,0
108,서울,2014-01-06 21:00,1.7,,.5,320,53,3.7,-6.8,1017.2,,,,7,Sc,.1
108,서울,2014-01-06 22:00,1.7,,1.2,20,53,3.7,-6.8,1017,,,,,,-.1
108,서울,2014-01-06 23:00,1.1,,2.5,20,54,3.6,-7.1,1017,,,,,,-.2
108,서울,2014-01-07 00:00,.9,,2.1,70,54,3.5,-7.3,1016.6,,,,8,Sc,.1
108,서울,2014-01-07 01:00,1.4,,2.1,50,55,3.7,-6.6,1016.4,,,,,,.1
108,서울,2014-01-07 02:00,1.2,,1.3,20,54,3.6,-7,1016.6,,,,,,-.1
108,서울,2014-01-07 03:00,.6,,2.2,50,57,3.6,-6.9,1016.4,,,,6,Sc,-.3
108,서울,2014-01-07 04:00,.8,,2,50,56,3.6,-6.9,1016.1,,,,8,Sc,-.2
108,서울,2014-01-07 05:00,1,,1.6,50,57,3.8,-6.5,1015.7,,,,6,Sc,-.1
108,서울,2014-01-07 06:00,.7,,1.9,20,57,3.7,-6.8,1015.8,,,,6,Sc,-.3
108,서울,2014-01-07 07:00,.4,,2.4,20,59,3.7,-6.6,1015.8,,,,7,Sc,-.5
108,서울,2014-01-07 08:00,.7,,1.5,50,55,3.5,-7.3,1015.7,0,0,,7,Sc,-.1
108,서울,2014-01-07 09:00,1,,2.5,20,54,3.6,-7.2,1016.1,0,.11,,7,Sc,0
108,서울,2014-01-07 10:00,2.1,,2.4,20,49,3.5,-7.5,1016,0,.4,,8,ScAc,.3
108,서울,2014-01-07 11:00,3.2,,1.6,20,45,3.5,-7.6,1015.8,0,.56,,9,ScAs,.8
108,서울,2014-01-07 12:00,4.1,,.8,20,43,3.5,-7.3,1015,0,.56,,9,ScAs,1.1
108,서울,2014-01-07 13:00,4.5,,1.4,250,47,4,-5.8,1014.1,0,.38,,10,ScAs,1.1
108,서울,2014-01-07 14:00,5,,2.6,200,49,4.3,-4.8,1013.5,0,.51,,10,ScAs,2.1
108,서울,2014-01-07 15:00,5.5,,1.5,250,49,4.4,-4.3,1013.5,0,.49,,10,ScAs,2
108,서울,2014-01-07 16:00,5.3,,1.5,270,51,4.5,-4,1013.5,0,.21,,10,ScAs,1.6
108,서울,2014-01-07 17:00,5.1,,2.3,290,52,4.6,-3.9,1013.4,0,.14,,10,ScAs,1
108,서울,2014-01-07 18:00,4.7,,1.7,290,57,4.9,-3.1,1013.4,0,0,,10,ScAs,.4
108,서울,2014-01-07 19:00,4.3,,.5,20,59,4.9,-3,1013.6,,,,,,0
108,서울,2014-01-07 20:00,4,,.8,290,60,4.9,-3,1013.7,,,,,,0
108,서울,2014-01-07 21:00,3.6,,1.3,250,65,5.2,-2.3,1013.8,,,,10,ScAs,.1
108,서울,2014-01-07 22:00,4.1,,2,270,65,5.3,-1.9,1013.7,,,,,,.2
108,서울,2014-01-07 23:00,4,,.3,0,65,5.3,-1.9,1013.3,,,,,,.5
108,서울,2014-01-08 00:00,4,0,.8,290,66,5.4,-1.7,1012.9,,,,10,ScAs,.5
108,서울,2014-01-08 01:00,3.9,,1.9,290,73,5.9,-.5,1012.3,,,,10,ScAs,.8
108,서울,2014-01-08 02:00,3.8,,.4,0,75,6,-.2,1011.7,,,,10,ScAs,.7
108,서울,2014-01-08 03:00,3.8,0,1.7,270,73,5.8,-.6,1012.1,,,,10,ScAs,.8
108,서울,2014-01-08 04:00,3.8,,1.7,290,75,6,-.2,1011.3,,,,10,ScAs,.9
108,서울,2014-01-08 05:00,3.6,,2,290,78,6.2,.1,1011,,,,10,ScAs,.8
108,서울,2014-01-08 06:00,3.1,,2.4,320,81,6.2,.1,1010.9,,,,10,ScAs,.9
108,서울,2014-01-08 07:00,2.5,,3,320,79,5.8,-.7,1010.7,,,,10,ScAs,.6
108,서울,2014-01-08 08:00,2,,1.9,320,81,5.7,-.9,1010.6,0,0,,10,ScAs,0
108,서울,2014-01-08 09:00,2,,3,290,81,5.7,-.9,1011.1,0,.08,,10,ScAs,.6
108,서울,2014-01-08 10:00,2.1,,3.4,290,80,5.7,-.9,1011.6,0,.24,,10,ScAs,1.6
108,서울,2014-01-08 11:00,2.2,,2.3,340,70,5,,1011.2,0,.44,,8,ScCi,2.6
108,서울,2014-01-08 12:00,2.3,,4.1,290,67,4.8,,1010.2,0,.67,,8,ScCi,3.8
108,서울,2014-01-08 13:00,2.6,,4.5,290,62,4.6,,1009.1,.3,1.04,,8,ScCi,5.4
108,서울,2014-01-08 14:00,2.7,,5.2,290,56,4.2,,1008.4,.7,1.06,,6,ScCi,5.6
108,서울,2014-01-08 15:00,2.5,,3.6,320,45,3.3,,1008.4,.9,1.09,,8,Ci,4.5
108,서울,2014-01-08 16:00,1.8,,4.7,290,34,2.4,,1008.4,1,.68,,7,Ci,1.9
108,서울,2014-01-08 17:00,.4,,4.2,290,34,2.1,,1009.1,.6,.28,,7,Ci,.2
108,서울,2014-01-08 18:00,-.8,,5.4,290,32,1.8,,1009.9,0,.01,,8,Ci,-.1
108,서울,2014-01-08 19:00,-1.7,,5.1,290,36,1.9,,1010.5,,,,,,-.4
108,서울,2014-01-08 20:00,-2.8,,4.1,340,41,2,,1011.6,,,,,,-.6
108,서울,2014-01-08 21:00,-3.5,,5,290,41,1.9,,1012.1,,,,5,Ci,-.8
108,서울,2014-01-08 22:00,-4.4,,3.9,290,42,1.8,,1012.6,,,,,,-1.4
108,서울,2014-01-08 23:00,-5.1,,4.2,290,40,1.7,,1012.7,,,,,,-1.9
108,서울,2014-01-09 00:00,-5.7,,3,320,33,1.3,,1012.8,,,,0,,-2.3
108,서울,2014-01-09 01:00,-6.3,,4,320,30,1.1,-21,1013.1,,,,,,-3
108,서울,2014-01-09 02:00,-7.2,,5.4,290,29,1,-22.2,1013.4,,,,,,-3.9
108,서울,2014-01-09 03:00,-8.1,,3.5,270,29,1,-23,1014,,,,0,,-4.4
108,서울,2014-01-09 04:00,-8.6,,2.8,290,29,.9,-23.4,1014.3,,,,0,,-5.1
108,서울,2014-01-09 05:00,-9.1,,1.9,290,30,.9,-23.5,1014.5,,,,0,,-5.8
108,서울,2014-01-09 06:00,-9.7,,1.1,340,33,1,-23,1015,,,,0,,-6.2
108,서울,2014-01-09 07:00,-10.1,,2.2,360,33,.9,-23.3,1016.1,,,,0,,-6.7
108,서울,2014-01-09 08:00,-10.4,,2.8,320,34,.9,-23.2,1017.2,0,0,,0,,-7
108,서울,2014-01-09 09:00,-10.2,,4.1,290,33,.9,-23.4,1018.4,1,.28,,0,,-6
108,서울,2014-01-09 10:00,-9.2,,2.7,320,32,1,-22.9,1019.1,1,.83,,0,,-2
108,서울,2014-01-09 11:00,-7.6,,4.2,270,27,.9,-23.4,1019.3,1,1.28,,0,,-.6
108,서울,2014-01-09 12:00,-6.9,,3.9,290,24,.9,,1018.8,1,1.58,,0,,1.3
108,서울,2014-01-09 13:00,-5.9,,4.1,290,22,.9,,1018.1,1,1.73,,0,,.5
108,서울,2014-01-09 14:00,-4.9,,4.6,290,19,.8,,1017.7,1,1.66,,0,,.9
108,서울,2014-01-09 15:00,-4.5,,4.9,290,13,.6,,1017.9,1,1.36,,0,,.1
108,서울,2014-01-09 16:00,-4.6,,3.9,290,15,.7,,1018.1,1,.9,,0,,-1.1
108,서울,2014-01-09 17:00,-5.7,,5.6,290,17,.7,,1018.7,1,.41,,0,,-2.7
108,서울,2014-01-09 18:00,-6.6,,4.8,290,20,.7,,1019.1,.3,.03,,0,,-3.9
108,서울,2014-01-09 19:00,-7,,2.6,290,22,.8,,1019.3,,,,,,-4.7
108,서울,2014-01-09 20:00,-7.5,,2.3,270,24,.8,,1019.4,,,,,,-5.4
108,서울,2014-01-09 21:00,-7.6,,2.9,270,26,.9,,1019.9,,,,0,,-5.7
108,서울,2014-01-09 22:00,-7.7,,3.5,270,28,1,-23,1020,,,,,,-6
108,서울,2014-01-09 23:00,-7.8,,3,340,29,1,-22.7,1020.3,,,,,,-6.3
108,서울,2014-01-10 00:00,-8.5,,.8,290,32,1,-22.2,1020.2,,,,0,,-6.5
108,서울,2014-01-10 01:00,-8.4,,1.9,340,31,1,-22.5,1020.2,,,,,,-6.7
108,서울,2014-01-10 02:00,-8.7,,1.8,290,31,1,-22.8,1020.4,,,,,,-6.9
108,서울,2014-01-10 03:00,-9.2,,.7,20,35,1.1,-21.8,1020.9,,,,0,,-7
108,서울,2014-01-10 04:00,-8.9,,.9,20,34,1.1,-21.9,1021,,,,0,,-6
108,서울,2014-01-10 05:00,-8.5,,2.2,20,37,1.2,-20.6,1020.9,,,,6,Sc,-5.5
108,서울,2014-01-10 06:00,-8,,1.5,50,35,1.2,-20.8,1021,,,,6,Sc,-5.4
108,서울,2014-01-10 07:00,-7.7,,1.6,20,37,1.3,-19.9,1021.1,,,,7,Sc,-4.8
108,서울,2014-01-10 08:00,-8,,1.8,50,45,1.5,-17.8,1021.1,0,0,,7,Sc,-5.8
108,서울,2014-01-10 09:00,-6.8,,1.4,90,43,1.6,-17.3,1021.6,0,.13,,5,Sc,-3.8
108,서울,2014-01-10 10:00,-5.2,,1.4,230,47,2,-14.7,1022.1,.7,.6,,4,Sc,-1.3
108,서울,2014-01-10 11:00,-3.9,,1.1,20,46,2.1,-13.8,1021.4,.8,.87,,4,Sc,0
108,서울,2014-01-10 12:00,-2.3,0,1.3,340,44,2.3,-12.9,1020.7,1,1.3,,3,Sc,1.1
108,서울,2014-01-10 13:00,-1.1,,2.7,250,42,2.4,-12.4,1020.3,1,1.48,,6,Sc,1.3
108,서울,2014-01-10 14:00,-.9,,2.4,270,39,2.2,-13.1,1019.9,.6,1.03,,5,Sc,1.7
108,서울,2014-01-10 15:00,-1.1,0,3.6,270,42,2.4,-12.4,1019.8,.1,.69,,8,Sc,1
108,서울,2014-01-10 16:00,-1.3,,3.7,230,47,2.6,-11.1,1019.5,0,.52,,7,Sc,.2
108,서울,2014-01-10 17:00,-1.7,,2.7,270,50,2.7,-10.7,1019.7,.2,.28,,8,Sc,.1
108,서울,2014-01-10 18:00,-2.4,0,2.2,290,53,2.7,-10.6,1019.7,0,.01,,3,Sc,-.1
108,서울,2014-01-10 19:00,-3.1,,2.2,270,58,2.8,-10.2,1020,,,,,,-.9
108,서울,2014-01-10 20:00,-3.3,,2.5,270,60,2.9,-9.9,1020.1,,,,,,-1.9
108,서울,2014-01-10 21:00,-3.5,,2.5,270,63,3,-9.5,1020.4,,,,0,,-2.7
108,서울,2014-01-10 22:00,-3.9,,1.5,270,66,3,-9.3,1020.5,,,,,,-3.4
108,서울,2014-01-10 23:00,-4.2,,1.9,270,69,3.1,-9,1020.4,,,,,,-3.9
108,서울,2014-01-11 00:00,-4.2,,2,270,74,3.3,-8.1,1020.4,,,,0,,-4.2
108,서울,2014-01-11 01:00,-4.2,,2,250,71,3.2,-8.6,1020.6,,,,,,-4.4
108,서울,2014-01-11 02:00,-4.4,,.6,250,75,3.3,-8.1,1020.6,,,,,,-4.7
108,서울,2014-01-11 03:00,-4.8,,2.7,50,80,3.4,-7.7,1020.9,,,,6,Sc,-5
108,서울,2014-01-11 04:00,-5.2,,1.8,20,77,3.2,-8.6,1020.8,,,,1,Sc,-5.2
108,서울,2014-01-11 05:00,-5.2,,2.1,50,78,3.2,-8.4,1021,,,,2,Sc,-5.4
108,서울,2014-01-11 06:00,-4.9,,.9,20,77,3.3,-8.3,1021.2,,,,2,Sc,-5
108,서울,2014-01-11 07:00,-5.3,,.7,360,79,3.3,-8.3,1021.5,,,,0,,-5.7
108,서울,2014-01-11 08:00,-5.3,,1.2,320,80,3.3,-8.2,1022,0,0,,0,,-6
108,서울,2014-01-11 09:00,-5,,1.1,20,75,3.2,-8.7,1022.5,.8,.23,,2,Ci,-4.6
108,서울,2014-01-11 10:00,-3.4,,.8,20,65,3.1,-9,1022.9,1,.63,,2,Ci,-1.5
108,서울,2014-01-11 11:00,-1,,.9,50,48,2.7,-10.6,1022.5,1,1.02,,4,ScCi,.1
108,서울,2014-01-11 12:00,.7,,3.1,290,16,1,,1021.6,1,1.46,,3,Ci,1.9
108,서울,2014-01-11 13:00,1.3,,2.5,320,15,1,-22.5,1020.7,1,1.45,,3,Ci,1.9
108,서울,2014-01-11 14:00,1.8,,3.1,290,19,1.3,-19.4,1020.1,1,1.25,,4,Ci,1.8
